D13:1
D14:1
D17:1
D18:1
D33:1
D34:1
D37:1
D38:1
H10:1
H11:1
H12:1
H9:1
J8:1
J9:1
SW13:1
SW14:1
SW17:1
SW18:1
SW33:1
SW34:1
SW37:1
SW38:1
